Taxon,MorphogroupID,CladeID,SpecimenID,HerbariumSheetID,Elevation,Latitude,Longitude,LAMLEN,LAMWID,PEDLEN,OVALEN,CALYTUBLEN,CALLOBLEN,PETLEN,PETWID,FILLEN,STYLEN
resinosa,24,III,DS10955,MO3303829,2879,-9.45,-77.85,33.33,12,3.48,1.8,0.92,0.56,5.56,3.4,3.7,3.8
resinosa,24,III,DS10236,MO3314959,3450,-9.633333333,-77.2,37.5,8.8,2.86,2.7,1.2,0.55,5.5,2.85,3.33,2.7
resinosa,24,III,CP1050,US1776355,2600,-2.861388889,-78.93555556,40.67,8.33,3.02,1.69,0.7,0.68,5.49,2.57,2.67,2.93
resinosa,24,III,FZ182,MOUNM_FZ182,3566,-13.17722222,-72.28988889,31,10.67,2.13,1.79,0.9,0.87,5.49,3,3.6,2.9
resinosa,24,III,FZ180,MOUNM_FZ180,3694,-13.16013889,-72.28025,45.33,10.33,2.75,1.9,0.96,0.87,5.48,3.4,3.86,3.46
resinosa,24,III,CO527,US1952577,3200,-11.72444444,-75.10694444,40.33,9.33,2.4,1.58,0.81,0.51,5.47,2.7,3.85,3.4
piurensis,24,III,AS10370,MO2977758,3300,-7.355277778,-78.90083333,25,11.12,3.2,1.8,0.8,0.5,5.45,3,3.1,3.2
resinosa,24,III,FZ310,MOUNM_FZ310,3045,-17.82777778,-64.78361111,35.33,9.33,2.06,1.7,0.82,0.4,5.41,2.89,3.7,3.3
resinosa,24,III,JW7805,K145,2900,-19.14611111,-65.32694444,26.67,6.67,2.36,1.46,0.88,0.45,5.36,2.89,3.11,3.07
piurensis,24,III,SL123,MO5788375,2500,-7.998055556,-78.64666667,24,9.67,4.08,1.61,0.73,0.47,5.3,3.05,3,2.7
resinosa,24,III,MC4122,US1986034,3200,-18.98277778,-65.36666667,26.67,5.67,2.71,1.44,0.9,0.58,5.28,2.77,3.9,3.6
resinosa,24,III,DS10599,MO3314954,3600,-9.016666667,-77.05,22.67,7,2.41,1.49,0.89,0.49,5.26,2.72,2.98,2.7
piurensis,24,III,FZ236,MO6280717,2709,-7.328138889,-78.81075,40.67,13.67,2.64,1.78,0.71,0.5,5.24,2.51,3.2,2.9
resinosa,24,III,DS3356,MO3413756,3400,-8.333333333,-78.08333333,33.67,8.33,3.27,1.89,1,0.59,5.2,2.89,2.92,2.99
resinosa,24,III,FP14405,US1340811,3200,-11.43361111,-76.60805556,38.33,12.67,4.06,1.86,0.92,0.9,5.14,2.87,3.5,3.1
resinosa,24,III,FZ167,MOUNM_FZ167,3317,-13.54269444,-71.94147222,41.33,9,2.37,1.74,0.89,0.48,5.13,2.91,3.8,3.4
resinosa,24,III,EBB6926,UC683109,3300,-13.38333333,-73.88333333,39,8,2.13,1.73,0.75,0.45,5.06,2.58,3.5,3
piurensis,24,III,FZ240,MO6280709,2709,-7.328138889,-78.81075,37,11.17,2.25,1.72,0.84,0.43,5.03,2.9,3,3
resinosa,24,III,EB572,MO6030395,2800,-21.48277778,-65.03277778,23.33,7.67,2.47,1.75,1,0.47,5,2.94,2.8,2
